Year,Stock,Asset Turnover,Average Inventory,Average Payables,Average Receivables,Book Value Per Share,Capex Per Share,Capex To Depreciation,Capex To Operating Cash Flow,Capex To Revenue,Capital Expenditure Coverage Ratio,Cash Conversion Cycle,Cash Flow Coverage Ratios,Cash Per Share,Cash Ratio,Company Equity Multiplier,Current Ratio,Days Of Inventory On Hand,Days Of Sales Outstanding,Debt Ratio,Dividend Payout Ratio,Dividend Yield,EBIT Per Revenue,EBT Per EBIT,EV To Sales,Earnings Yield,Effective Tax Rate,Enterprise Value,Enterprise Value Over Ebitda,Ev To Free Cash Flow,Ev To Operating Cash Flow,Fixed Asset Turnover,Free Cash Flow Per Share,Free Cash Flow Yield,Graham Net Net,Graham Number,Income Quality,Intangibles To Total Assets,Interest Coverage,Inventory Turnover,Long Term Debt To Capitalization,Net Current Asset Value,Net Income Per Share,Net Profit Margin,PB Ratio,PE Ratio,Payables Turnover,Price Earnings To Growth Ratio,ROE,ROIC,Receivables Turnover,Research And Ddevelopement To Revenue,Return On Assets,Return On Capital Employed,Revenue Per Share,Sales General And Administrative To Revenue,Short Term Coverage Ratios,Stock Based Compensation To Revenue,Tangible Asset Value,Total Debt To Capitalization,Working Capital,Z_Score,Altman_Zone,Financial_Distress
2012,20MICRONS,1.067539038,500765500.0,164126500.0,647728500.0,21.84125377,-13.6401439,-5.126599558,-0.94381578,-0.137690611,-1.059528799,109.5177903,0.318332813,2.018030667,0.046730749,4.248672888,0.871797797,110.5612153,75.32503911,0.489237176,0.539845974,0.026495257,0.022563566,1.076654609,0.748320285,0.04907929,0.373269289,2347152222.0,4.828130567,91.29690855,5.129445571,2.045631733,0.811981382,0.026405899,-46.07402943,27.23339192,6.005275798,0.007961886,0.0,3.301338529,0.512553764,-1053764000.0,1.509188159,0.01523452,1.40788621,20.37519299,4.779459746,-0.335232876,0.069098055,0.020833933,4.845666253,0.0,0.016263444,0.045054118,99.06371841,0.0,0.644230444,0.0,668956000.0,0.675177949,-175291000.0,3.2892486973296187,Healthy,0
2014,20MICRONS,1.074030471,633121500.0,613459000.0,718248500.0,21.00952386,-1.764258721,-0.566238302,-0.196934737,-0.016661174,-5.077824338,64.81781427,0.196348781,5.439097854,0.110791724,4.692711442,0.950798856,102.8919419,74.28496864,0.462776904,0.0,0.0,-0.009901474,0.8278099,0.715710016,-0.020782557,0.151925043,2562800111.0,8.342638378,10.53423425,8.4596776,2.283627217,7.194337149,0.202088122,-46.22232168,18.70138838,-10.32173765,0.004416363,-0.148621515,3.547410937,0.536642409,-1044143000.0,-0.739859017,-0.006987025,1.694469624,-48.11727532,3.248513135,-11.38775516,-0.035215411,-0.01334398,4.913510858,0.000406336,-0.007504278,-0.021181821,105.8904181,0.025318785,0.420719107,4.47e-05,696654000.0,0.684709529,-81680000.0,4.450346665216472,Healthy,0
2015,20MICRONS,1.079090746,680089000.0,635076000.0,772305000.0,24.74991712,-2.494664957,-0.861415011,-0.346166249,-0.02447708,-2.888785386,108.105664,0.171203475,2.664134858,0.059614341,3.816110143,1.025415109,117.9852332,82.80201227,0.445677059,0.0,0.0,0.038520787,1.046999293,0.663073119,0.110619488,0.237415974,2384639031.0,5.064282656,14.34231311,9.377488385,2.345781878,4.711886715,0.167384963,-39.57944032,41.64215101,2.314288315,0.006507831,0.59867244,3.093607482,0.45321097,-836551000.0,3.113938582,0.030553251,1.137377546,9.039998465,3.938215061,-0.017241234,0.125816122,0.04478957,4.408105431,3.53e-05,0.03296973,0.078899977,101.9184049,0.006116489,0.333956699,0.0,857500000.0,0.629732858,40078000.0,5.428793365982245,Healthy,0
2016,20MICRONS,1.145033081,688882000.0,309187000.0,823725500.0,28.98099676,-4.770379337,-1.647274115,-0.321336736,-0.042614424,-3.112000238,171.3667357,0.352131403,3.43097199,0.07811011,3.373377481,1.053428717,104.9025357,76.84294662,0.431230549,0.0,0.0,0.058051108,1.024155495,0.658619951,0.124742964,0.340224403,2601595570.0,4.639219752,7.317863397,4.966365056,2.556030084,10.07504229,0.287858351,-37.9116567,53.35682394,2.230590389,0.004680347,1.024826705,3.479420183,0.387728441,-787605000.0,4.366003748,0.039002084,1.207687931,8.016484185,35.16802298,0.186457484,0.150650572,0.060268546,4.749947992,0.0,0.044658676,0.120700646,111.942833,0.027016223,0.623595151,0.0,1013228000.0,0.592618811,82812000.0,6.050940978134548,Healthy,0
2017,20MICRONS,1.13698463,698991500.0,340703500.0,851558500.0,40.65319368,-5.573037531,-1.902363286,-0.324669021,-0.046064265,-3.080059801,89.39115114,0.453097836,2.202598603,0.040608483,2.617450988,1.109648405,99.72861911,74.51278618,0.356029432,0.091414434,0.009808012,0.119243372,0.550791456,0.710164382,0.107291727,0.324936606,3031763475.0,4.949462364,7.411718554,5.005363147,2.225172891,11.59225134,0.233010077,-34.61536085,69.87442621,2.160239241,0.002917632,2.40199497,3.659932357,0.28842176,-659576000.0,5.337763431,0.044119593,1.223766093,9.320383085,4.301696013,0.49233553,0.131299978,0.124002277,4.898488148,0.0,0.0501633,0.224866896,120.9839672,0.020624014,0.801874341,0.0,1429829000.0,0.482372074,163477000.0,7.398811541978688,Healthy,0
2018,20MICRONS,1.193722716,779305000.0,640130000.0,906891000.0,47.10676621,-5.59828798,-1.887176744,-0.370361899,-0.041203277,-2.700061758,92.86016798,0.428614707,2.136425991,0.044256049,2.416221432,1.157741874,103.5604929,71.73567947,0.309843108,0.060757928,0.010679349,0.123034155,0.652019421,0.540281583,0.175768811,0.351162742,2590313055.0,3.741556235,7.713006772,4.856402938,2.429483119,9.517435307,0.237046957,-32.4907099,86.4861545,1.386817227,0.004111472,2.976250423,3.524510068,0.215498945,-492751000.0,7.057117761,0.051940232,0.852319173,5.689291487,4.42767699,0.176632654,0.149811128,0.131673652,5.088123549,0.003064007,0.062002234,0.244257462,135.8699709,0.020491301,0.677032375,0.0,1653094000.0,0.428130127,252602000.0,7.434903563381372,Healthy,0
2019,20MICRONS,1.190053958,906753500.0,772705500.0,1020809000.0,53.22239082,-4.702818092,-1.326432574,-0.387529629,-0.031358485,-2.580447857,86.24659617,0.345398186,1.736272981,0.033523949,2.367783936,1.187857541,104.4362191,75.82582327,0.278802566,0.087771747,0.023479039,0.10271753,0.635677768,0.39310734,0.2675011,0.300330501,2080285126.0,3.219861853,7.931875769,4.858038897,2.571879096,7.432558773,0.290902496,-33.63483011,90.46835361,1.239277528,0.014129119,3.153329853,3.49495609,0.185502716,-397805000.0,6.834653092,0.045573604,0.48006111,3.738302392,3.882340771,-1.147496299,0.128416875,0.120130608,4.813663528,0.004681493,0.054235048,0.207036887,149.9695549,0.020946348,0.527327202,0.0,1822701000.0,0.3976427,342144000.0,6.7835467366461755,Healthy,0
2020,20MICRONS,1.068541899,991471500.0,908682500.0,1052971500.0,60.77799947,-2.964731387,-0.756440755,-0.200997929,-0.02164542,-4.975175644,83.80684123,0.508073884,1.240105919,0.021704597,2.109023273,1.226279549,115.072881,76.01841894,0.226484833,0.0,0.0,0.09555869,0.471127884,0.460181354,0.185209381,-0.057512099,2224113545.0,4.297538211,5.348188094,4.273213364,2.396668454,11.785328,0.335286714,-30.30095616,94.35363018,2.392023494,0.008123186,3.126905031,3.171902856,0.103983613,-75751000.0,6.51010973,0.047530128,0.578334271,5.399294552,3.402170308,-1.152411931,0.107112932,0.153530699,4.801467922,0.0,0.050787933,0.174179154,136.9680678,0.017058946,0.671129014,0.0,2115579000.0,0.323255151,423491000.0,7.488849317113527,Healthy,0
2021,20MICRONS,1.186550149,1147588500.0,962372000.0,1155494000.0,71.27201217,-7.763081759,-2.003613251,-0.775563131,-0.044800927,-1.289385687,106.0800501,0.287252307,3.837473037,0.061962876,2.049000374,1.33206655,120.3224022,77.86570598,0.238612078,0.0,0.0,0.108242359,0.719583283,0.606464215,0.132719182,0.270797419,3708181173.0,4.987694357,46.77794395,10.49869529,2.941960718,2.246524748,0.030420105,-24.67336519,125.3697808,0.741430197,0.008139352,4.98606277,3.033516564,0.105072032,108075000.0,9.801311561,0.0565636,1.036171111,7.534705895,3.962736896,0.149090989,0.137519782,0.127928005,4.687557833,0.0,0.067115547,0.213613779,173.279488,0.016070517,0.378033222,0.0,2482100000.0,0.328370545,682334000.0,9.606873492050966,Healthy,0
2022,20MICRONS,1.524192242,1063334000.0,847855000.0,1101389000.0,76.40173571,-3.538945288,-1.044384043,-0.197601133,-0.017796676,-5.060699729,59.14415634,0.762221855,4.966658356,0.087150221,1.707622916,1.454214331,80.81164998,46.73161987,0.180097557,0.0,0.0,0.103473314,0.78771009,0.473522689,0.159506087,0.266306362,3322648099.0,3.822976299,6.552409244,5.257645753,3.573726191,14.37059417,0.193413111,-18.13908191,142.7334977,1.106726186,0.002057056,4.087433571,4.516675505,0.066973897,232268000.0,11.85130223,0.059597923,0.972490995,6.269353235,5.336326471,0.299705667,0.155118233,0.150283431,7.810557413,0.006247941,0.090838692,0.231812795,198.8542814,0.019257299,0.994296638,0.0,2686480000.0,0.23520429,668410000.0,10.886804290238405,Healthy,0
2012,21STCENMGM,0.005455664,0.0,144103500.0,0.0,45.06952381,-0.00047619,-0.001037775,-0.000527649,-0.00132626,-1895.2,-7054.297917248,17.22909091,23.82771429,0.408801855,1.460230755,2.18644597,0.0,0.0,0.000795919,0.0,0.0,-10.98116711,1.0,69.55305597,-0.164051886,-0.389719558,262215021.0,-9.153634748,27.68609661,27.67148808,0.160623749,0.902,0.027005986,3.085333333,74.54123854,-0.228894418,0.008682754,-5.21726528,0.0,0.0,258402000.0,-5.479333333,-15.26074271,0.741077322,-6.095632437,0.0,0.12789834,-0.121575133,-0.121433999,0.0,0.0,-0.08325748,-0.087481774,0.359047619,0.0,17.22909091,0.0,467230000.0,0.001160876,258402000.0,779.7332382160879,Healthy,0
2013,21STCENMGM,0.027633305,0.0,145307500.0,0.0,44.45580952,-0.001904762,-0.00538503,0.000161746,-0.001316656,6182.55,-918.0966015440001,-224.82,11.65438095,0.509558212,1.177625293,5.781915984,0.0,0.0,0.001000548,0.0,0.0,-0.438578012,1.0,20.3423977,-0.018374678,0.032722906,309001021.0,-106.1494404,-2.498572996,-2.498977129,0.774644296,-11.77819048,-0.352640412,3.757904762,24.77642471,18.56064245,0.010915064,0.0,0.0,0.0,396483000.0,-0.613714286,-0.424226465,0.751307925,-54.42272207,0.0,0.612395312,-0.013805041,-0.013788794,0.0,0.0,-0.011722779,-0.014272065,1.446666667,0.0,-224.82,0.0,460786000.0,0.001176883,396483000.0,782.3041247096036,Healthy,0
2014,21STCENMGM,0.38863608,0.0,74892500.0,0.0,49.67260927,-1.705827271,-4.558473134,-0.068556865,-0.050983005,-14.58643128,-56.13138217599999,1.374822166,40.65917409,0.142613397,1.733203409,1.971753614,0.0,0.0,0.210218566,0.0,0.0,0.901957852,1.0,1.383922135,0.659580825,0.270007085,508937365.2,1.488434305,1.997932593,1.860960598,12.70864291,23.17610499,0.693895317,4.239047641,156.9123054,0.824495395,0.006340765,0.0,0.0,0.0,388992000.0,22.03000087,0.658422842,0.672402809,1.51611442,0.0,-0.000408494,0.443503999,0.325065782,0.0,0.0,0.255886872,0.607545622,33.45874335,0.0,1.374822166,0.0,539959000.0,0.267051069,388992000.0,13.81816225186936,Healthy,0
2017,21STCENMGM,0.34621023,0.0,42473000.0,0.0,57.88419048,0.0,0.0,0.0,0.0,0.0,-205.9659453,8.119158214,1.010666667,0.0522036,1.334462572,0.971600887,0.0,0.0,0.026012712,0.0,0.0,0.901242526,0.32779332,1.361066175,0.160944301,0.278841286,382186021.0,0.889301054,2.231117824,2.231117824,61.35001092,16.31409524,0.460850122,-18.34942857,86.14115401,2.06497577,0.007397681,0.0,0.0,0.0,-5773000.0,5.697428571,0.213045631,0.611565986,6.213329673,1.77213762,-0.003787367,0.09842806,0.290201013,0.0,0.0,0.073758577,0.416378187,26.7427619,0.024437409,8.119158214,0.0,601784000.0,0.033548424,-5773000.0,29.56793558140418,Healthy,0
2019,21STCENMGM,-1.084048475,0.0,1500.0,0.0,17.43171429,-0.125047619,-1.227102804,0.008129024,0.004266894,123.0159939,-0.085767996,-2.019,10.44895238,1.087932881,1.550867876,2.657208934,0.0,0.0,0.281829071,0.0,0.0,1.038814759,1.0,-0.275362507,-2.829100529,-0.003622576,84734000.0,-0.257444514,-0.520373634,-0.524603764,-90.96009459,-15.50790476,-1.435917108,0.846380952,109.4705692,0.505283706,0.02113718,0.0,0.0,0.0,164583000.0,-30.55428571,1.042577945,0.619560407,-0.353469235,4255.666667,-0.000803791,-1.752798676,-1.219694867,0.0,0.0,-1.130205031,-1.737510667,-29.30647619,-0.011916755,-2.019,0.0,177033000.0,0.304144347,165527000.0,8.207543869540173,Healthy,0
2021,21STCENMGM,0.300200447,25056000.0,0.0,-22902000.0,29.02971429,0.0,0.0,0.0,0.0,0.0,-159.6428293,25.2974,5.141904762,0.147767109,1.090042387,2.233539095,7.970861779,-167.613691,0.030097093,0.0,0.0,1.478525024,1.0,3.187881081,0.470027241,0.005397562,317972010.5,-0.144410836,1.256935537,1.256935537,58.02443281,24.0927619,0.811204077,1.642571429,95.4887891,1.715380338,0.018058256,1890.692308,45.7917864,0.0,31171000.0,13.95980952,1.469542028,1.023089677,2.127536264,0.0,0.010972635,0.480880018,0.465922519,-2.177626408,0.0,0.441157173,0.481919128,9.499428571,0.023349775,25.2974,0.0,298812000.0,0.03176499,32373000.0,42.08164299340483,Healthy,0
2016,360ONE,0.088519785,15505665000.0,9550160000.0,11173792000.0,44.6349697,-0.656965405,-2.352260778,0.00623016,-0.033267205,160.5095217,-104.6030495,-0.63802523,28.30854239,0.252686037,4.998164942,1.441684719,0.0,0.0,0.740831807,0.170163966,0.004932106,0.815657745,0.783290427,23.02116945,0.028984435,0.270325128,155000000000.0,27.74302054,-4.284626119,-4.311320025,26.92428428,-106.1061683,-0.334055877,-150.1494286,96.15504127,-8.357808245,0.000541307,2.261215874,0.0,0.594692321,-5827190000.0,9.206326115,0.466187016,7.116169276,34.50127619,3.489382019,0.0,0.206258146,0.055992424,0.0,0.0,0.041266775,0.144880961,19.74813926,0.047188274,-1.056783375,0.005175229,15157310000.0,0.787360702,16831390000.0,13.76821092886179,Healthy,0
2017,360ONE,0.097395955,0.0,1083925000.0,0.0,54.70971186,-1.079249963,-2.700146951,0.013257387,-0.039441006,75.42964434,-100.8641869,-0.397778268,15.48482438,0.101527183,5.135334128,1.606589497,0.0,0.0,0.728433511,0.206481854,0.007257944,1.100515591,0.477935949,18.52202216,0.035150516,0.224265216,173000000000.0,16.60985308,-6.144387148,-6.225845668,19.24697377,-82.48669083,-0.25969427,-210.7581142,117.2330547,-5.656192101,0.000409342,1.857025141,0.0,0.565097121,6239110000.0,11.16485834,0.40801785,5.805733373,28.44908465,3.618727433,1.343672152,0.204074523,0.090066357,0.0,0.0,0.039739288,0.233940077,27.36365169,0.031981892,-0.609485405,0.004022556,18589770000.0,0.789062888,31441960000.0,17.467798719088055,Healthy,0
2018,360ONE,0.085675969,98755000.0,880515000.0,0.0,86.70706095,-6.239366717,-9.73825909,-0.113296461,-0.249938539,-8.826401058,-29.71840927,0.302314506,5.354544549,0.051471726,3.360421796,1.889996276,18.50350865,0.0,0.625197056,0.226316057,0.007950597,1.047326149,0.612966706,19.82448748,0.035130502,0.303726686,166000000000.0,18.47589879,10.1346007,8.986386312,3.56470393,48.83178627,0.153737954,-199.0164811,147.5439568,3.43635522,0.028115313,2.079967198,19.72598856,0.538416143,-8249960000.0,11.1585013,0.446990799,3.66325414,28.4652922,7.569172187,0.0,0.128691956,0.067704684,0.0,0.0,0.03829637,0.133333171,24.96360402,0.039368444,0.679678141,0.003386918,26354410000.0,0.677515665,28464920000.0,13.369083655980488,Healthy,0
2019,360ONE,0.055189005,98755000.0,604590000.0,0.0,86.88912072,-2.63864989,-2.214567793,-0.049325136,-0.126420115,-20.27363891,-51.99781115,0.207555265,194.0881718,0.199849992,4.352588649,2.271499798,0.0,0.0,0.681501311,1.042169573,0.024216589,1.43416541,0.277917557,23.09273495,0.023236707,0.29766323,166000000000.0,15.48547731,9.477536666,9.010055879,2.153301251,50.85638517,0.202252476,-97.21530799,106.8776931,6.430321101,0.021161555,2.088566756,0.0,0.619076755,6128770000.0,5.842869982,0.279937212,2.89391811,43.03535776,7.019526244,-0.902771791,0.067245127,0.060821834,0.0,0.0,0.015449456,0.123636483,20.87207324,0.059952352,0.459080478,0.032074689,27159630000.0,0.747875528,59570770000.0,19.64076957490015,Healthy,0
2020,360ONE,0.089973305,0.0,788915000.0,0.0,80.86071693,-0.721115127,-0.586874564,-0.061176071,-0.032069159,-16.34626061,-62.0558868,0.08698768,66.56131679,0.153948884,3.090763489,2.507306807,0.0,0.0,0.542203001,1.659269432,0.056534253,0.889019448,0.693648332,19.31397971,0.034071774,0.238660079,152000000000.0,20.46702166,39.24475592,36.84391594,2.499477132,11.06642067,0.035715413,-102.4993179,138.590409,0.850071351,0.060070419,1.720968933,0.0,0.506185415,3866090000.0,10.55713919,0.469493097,3.831897759,29.34980723,5.881794924,0.363141683,0.130559555,0.070089724,0.0,0.0,0.042241846,0.112253787,22.48625009,0.061256697,0.224005217,0.057741781,23027540000.0,0.626282958,37866230000.0,18.109564939566692,Healthy,0
2021,360ONE,0.101665802,0.0,1322970000.0,0.0,84.83101313,-0.463609409,-0.392449033,-0.017637869,-0.015004016,-56.69619094,-87.89753987,0.16648855,123.0058322,0.08915917,3.582739019,1.512889143,0.0,0.0,0.519459778,0.840836158,0.032949749,0.627059251,1.097350613,18.16502898,0.039186884,0.231015573,198000000000.0,27.30388469,21.73717377,21.35377634,3.726903148,25.82127818,0.061887396,-96.09053541,176.6553167,1.236253161,0.048825501,1.886511554,0.0,0.405439167,5482800000.0,16.34994341,0.529141148,4.918366345,25.51874276,4.152562182,0.465419557,0.192735449,0.061207268,0.0,0.0,0.053795559,0.130166777,30.89902094,0.047240395,0.262768413,0.02782548,24732080000.0,0.650482713,28104930000.0,16.085760354579,Healthy,0
